OBJECTID,GU_NAM,F_SHIM,F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,TYPE,OBJECTID_1,OBJECTID_2,BASE_YEAR,ADM_CD_2,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
"1854",영등포구,0.30,2022년 8.8 ~17. 호우,26.11,139.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 8-3,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1855",영등포구,0.30,2022년 8.8 ~17. 호우,26.12,124.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 8-4,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1856",영등포구,0.30,2022년 8.8 ~17. 호우,25.96,93.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 8-2,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1857",영등포구,0.30,2022년 8.8 ~17. 호우,20.97,122.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 38-5,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"4430",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,17.02,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 347-268,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2024",영등포구,0.30,2022년 8.8 ~17. 호우,11.80,85.95,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-4,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"1938",영등포구,0.30,2022년 8.8 ~17. 호우,15.30,109.61,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 296-46,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"1975",영등포구,0.30,2022년 8.8 ~17. 호우,13.80,95.87,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 325-69,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"1978",영등포구,0.30,2022년 8.8 ~17. 호우,14.30,118.73,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 325-67,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2065",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,114.73,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 355-365,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4436",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,9.49,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 355-703,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4465",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,9.50,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 355-708,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"1930",영등포구,0.30,2022년 8.8 ~17. 호우,15.30,110.49,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 307-4,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"1931",영등포구,0.30,2022년 8.8 ~17. 호우,15.30,77.79,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 305-14,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"1932",영등포구,0.30,2022년 8.8 ~17. 호우,15.30,77.84,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 305-20,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2019",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,88.25,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-243,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4426",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,44.10,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 355-191,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2023",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,136.72,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-266,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4428",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,26.15,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 347-82,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4429",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,119.65,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 347-3,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2026",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,87.54,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-140,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4432",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,51.88,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 347-8,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2028",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,88.22,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-5,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2029",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,73.81,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-160,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2030",영등포구,0.30,2022년 8.8 ~17. 호우,11.30,79.35,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 347-205,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2031",영등포구,0.30,2022년 8.8 ~17. 호우,11.80,94.31,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 325-108,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"2067",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,119.42,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구 신길동 359-5,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
"4435",영등포구,0.30,2022년 8.8 ~17. 호우,10.80,78.83,"1156013200","20220808","20220810","20","24",내수침수,서울특별시 영등포구신길동 355-318,"2022","2022",주택,"292",292.00000000000,"2016","1119065",신길3동,519701.60816300003,"11560",영등포구,"18743"
